trial,MSE,max_error
97,9.91959e-07,0.00260162
98,3.2271e-06,0.0128326
99,6.32051e-06,0.0185852
100,3.88073e-06,0.0131226
101,1.33498e-06,0.00372124
102,1.20811e-06,0.00511169
103,4.37138e-06,0.0152283
104,4.55521e-06,0.0147476
105,9.77377e-07,0.00375366
106,1.09554e-06,0.00337219
107,1.1233e-06,0.00382614
108,1.09183e-06,0.00338745
109,8.28598e-07,0.00247192
110,3.38253e-06,0.0121384
111,3.08409e-06,0.0118866
112,1.34648e-06,0.00460052
113,3.34428e-06,0.0115891
114,3.47478e-06,0.013237
115,1.63558e-06,0.00738907
116,4.98675e-06,0.0164185
117,1.41792e-06,0.0064888
118,3.47951e-06,0.0120316
119,7.76674e-07,0.00286865
120,7.73825e-06,0.0204468
121,1.51345e-06,0.00745392
122,8.49701e-07,0.00398254
123,1.2524e-06,0.0042572
124,1.22659e-06,0.00475693
125,9.26545e-07,0.00309753
126,1.05304e-06,0.00413132
127,1.7087e-06,0.00691605
128,2.39803e-06,0.0104675
129,2.79492e-06,0.0111389
130,1.54223e-06,0.00560379
131,8.89878e-07,0.00281525
132,2.0904e-06,0.00780869
133,1.48271e-06,0.00732422
134,7.10946e-07,0.00274658
135,4.61183e-06,0.0149078
136,3.73921e-06,0.0135422
137,1.98787e-06,0.00914764
138,5.00273e-06,0.0156555
139,1.01354e-06,0.00287628
140,1.27816e-06,0.00377083
141,9.22203e-07,0.00330353
142,1.52222e-06,0.00602722
143,1.46533e-06,0.00680923
144,1.15454e-06,0.00402832
145,1.00254e-06,0.00533676
146,2.09513e-06,0.00632858
147,9.42776e-07,0.00410461
148,8.79372e-07,0.00227356
149,1.80835e-06,0.00680923
150,2.20218e-06,0.00798035
151,3.11247e-06,0.012001
152,7.57654e-07,0.00308228
153,1.52011e-06,0.00434875
154,1.85337e-06,0.0079422
155,2.68182e-06,0.0109482
156,3.78341e-06,0.0134201
157,1.19498e-05,0.0270233
158,3.97026e-06,0.014595
159,5.24981e-06,0.0171967
160,4.96467e-06,0.0157318
161,1.29362e-06,0.0038147
162,9.73175e-07,0.00269508
163,2.70401e-06,0.0105133
164,1.1373e-06,0.00433731
165,2.25661e-06,0.00710678
166,1.41841e-06,0.00432205
167,1.34964e-06,0.00643539
168,5.84304e-06,0.0177765
169,1.31742e-06,0.00317383
170,2.18736e-06,0.00886536
171,1.48514e-06,0.00387573
172,1.37733e-06,0.00545502
173,2.39253e-06,0.00945282
174,1.20395e-06,0.0035553
175,3.47753e-06,0.0133896
176,1.60445e-06,0.00655365
177,1.00596e-06,0.00411987
178,3.65214e-06,0.0138321
179,3.08658e-06,0.0120087
180,1.16312e-06,0.00273132
181,9.82167e-07,0.00291443
182,4.71203e-06,0.0155945
183,1.27256e-06,0.0060997
184,1.2998e-06,0.00551224
185,1.60001e-06,0.0050354
186,1.46601e-06,0.00709152
187,2.52746e-06,0.00979614
188,1.43701e-06,0.00468445
189,2.01468e-06,0.00779343
190,1.57763e-06,0.00716782
191,1.64957e-06,0.00728607
192,7.05821e-07,0.00288391
193,1.28686e-06,0.00337029
194,1.30047e-06,0.00561523
195,2.81147e-06,0.01017
196,1.40866e-06,0.00644302
197,1.05957e-06,0.00262451
198,1.15556e-06,0.00372314
199,3.33384e-06,0.012207
200,3.29226e-06,0.0115814
201,1.51593e-06,0.00741959
202,1.05155e-06,0.00474548
203,3.52677e-06,0.0131607
204,1.47748e-06,0.00443649
205,1.08984e-06,0.00409317
206,2.19325e-06,0.0092392
207,2.53432e-06,0.0106812
208,1.30852e-06,0.00634766
209,2.97504e-06,0.0121002
210,2.0156e-06,0.00811768
211,1.37127e-06,0.00569916
212,1.60636e-06,0.00482559
213,3.44084e-06,0.0123291
214,2.88396e-06,0.0109406
215,1.16679e-06,0.00508499
216,2.10851e-06,0.00826263
217,9.53259e-07,0.0037384
218,1.69168e-06,0.00658035
219,9.42132e-07,0.00355339
220,1.92012e-06,0.00731659
221,2.47046e-06,0.0103607
222,3.81583e-06,0.0138626
223,1.13601e-06,0.00403214
224,1.19552e-06,0.00272369
225,1.63119e-06,0.00638962
226,1.85349e-06,0.0074234
227,6.29801e-06,0.0184631
228,1.02543e-06,0.00349617
229,1.29479e-06,0.00314331
230,7.66282e-07,0.00216675
231,2.23275e-06,0.00914001
232,1.18557e-06,0.00403595
233,9.75118e-07,0.00363731
234,2.21795e-06,0.00977325
235,6.61998e-06,0.0191193
236,3.15558e-06,0.0116501
237,1.00747e-06,0.00332642
238,8.6475e-07,0.0038147
239,1.18691e-06,0.00297546
240,9.29778e-07,0.00305176
241,1.45649e-06,0.00436401
242,1.98387e-06,0.00843048
243,1.59224e-06,0.00651169
244,9.89068e-07,0.00300598
245,9.43743e-07,0.00297165
246,1.00421e-06,0.00254822
247,1.59845e-06,0.00424194
248,1.37773e-06,0.00553513
249,6.03812e-06,0.0184631
250,1.45116e-06,0.00460815
251,7.25744e-07,0.00213623
252,1.75639e-06,0.00785828
253,1.43336e-06,0.00545883
254,2.22086e-06,0.00966644
255,1.29245e-06,0.00398254
256,3.286e-06,0.0125656
257,9.61169e-07,0.00323486
258,1.52813e-06,0.0072937
259,1.87793e-06,0.00714493
260,3.01374e-06,0.011322
261,1.05805e-06,0.00469589
262,7.32714e-07,0.00283813
263,2.17967e-06,0.0094986
264,1.29318e-06,0.00401306
265,2.7321e-06,0.0116196
266,8.47233e-07,0.0027771
267,2.51133e-06,0.0100861
268,9.8303e-07,0.00392151
269,4.70777e-06,0.0148849
270,1.51881e-06,0.00489807
271,1.33375e-06,0.00462723
272,4.69397e-06,0.0151291
273,6.87741e-06,0.0195465
274,1.6678e-06,0.00812531
275,1.32311e-06,0.00421143
276,1.06254e-06,0.0037384
277,2.67262e-06,0.00994873
278,6.37441e-07,0.00235748
279,7.81042e-07,0.00226593
280,1.4587e-06,0.00549698
281,9.98283e-07,0.00418091
282,3.05617e-06,0.0111847
283,1.75366e-06,0.00482559
284,2.06541e-06,0.00582886
285,1.54092e-06,0.00690079
286,1.90124e-06,0.00830841
287,3.24899e-06,0.0117722
288,6.77592e-06,0.0197449
289,9.21931e-07,0.0035553
290,5.62925e-06,0.0170898
291,1.71336e-06,0.00783539
292,3.03987e-06,0.0120926
293,1.95563e-06,0.00759888
294,7.64383e-06,0.0209351
295,2.66034e-06,0.0104904
296,7.09221e-07,0.00203323
297,5.11891e-06,0.0162964
298,1.37271e-06,0.00447083
299,1.14128e-06,0.00434875
300,2.56983e-06,0.00992584
301,1.02906e-06,0.00363159
302,2.08972e-06,0.00811005
303,8.83732e-07,0.00297546
304,1.89659e-06,0.00759506
305,1.55538e-06,0.00564194
306,6.8216e-06,0.0194092
307,1.14247e-06,0.00518799
308,8.42546e-07,0.00257874
309,1.43145e-06,0.00631714
310,4.77286e-06,0.0155792
311,1.56035e-06,0.00711441
312,1.01462e-06,0.00337219
313,1.35353e-06,0.00539017
314,4.54663e-06,0.0154495
315,4.54803e-06,0.0154572
316,1.71083e-06,0.00706863
317,3.87749e-06,0.0142975
318,1.08082e-06,0.00340271
319,1.39355e-06,0.0043602
320,3.75426e-06,0.0139236
321,1.41095e-06,0.00603867
322,1.29456e-06,0.00471497
323,3.04069e-06,0.0117493
324,1.66983e-06,0.00623322
325,3.36723e-06,0.0120926
326,1.09062e-06,0.00392914
327,3.74718e-06,0.0127335
328,1.28115e-06,0.00328255
329,2.63547e-06,0.00907898
330,1.87476e-06,0.00680161
331,8.00307e-07,0.0037384
332,3.3015e-06,0.0128708
333,1.04017e-06,0.00387573
334,4.04815e-06,0.014122
335,2.50161e-06,0.00970459
336,1.4878e-06,0.00498581
337,9.54096e-07,0.00367737
338,2.15654e-06,0.0088501
339,1.02913e-06,0.00432968
340,2.87465e-06,0.00991058
341,1.98957e-06,0.00920105
342,1.13705e-06,0.00387764
343,1.26078e-06,0.0038414
344,3.2016e-06,0.012085
345,2.18049e-06,0.00799561
346,1.24058e-06,0.00468445
347,9.59494e-07,0.00256348
348,1.38231e-06,0.00439453
349,1.69154e-06,0.00537491
350,2.35817e-06,0.0103378
351,3.34863e-06,0.0122604
352,1.0737e-06,0.00281525
353,1.36063e-06,0.00701904
354,1.48874e-06,0.00404739
355,1.95449e-06,0.00700378
356,1.04108e-06,0.0035553
357,7.43474e-07,0.00297928
358,1.39884e-06,0.00497437
359,3.73592e-06,0.013298
360,5.68229e-06,0.0173645
361,2.12785e-06,0.00852203
362,7.52092e-07,0.00405884
363,4.84042e-06,0.0157776
364,1.08666e-06,0.00361633
365,3.10011e-06,0.0119095
366,1.52011e-06,0.00568008
367,1.89092e-06,0.00878143
368,7.11177e-07,0.00245667
369,1.42003e-06,0.00574875
370,2.84961e-06,0.0115814
371,2.86972e-06,0.0113907
372,2.46632e-06,0.00845337
373,9.90708e-07,0.00335693
374,5.43195e-07,0.0017395
375,1.05786e-06,0.00354767
376,5.26327e-06,0.0162201
377,5.19373e-06,0.0158691
378,1.59781e-06,0.00539017
379,6.8961e-07,0.00257301
380,3.66896e-06,0.0131912
381,1.54184e-06,0.00693893
382,1.59201e-06,0.00458145
383,1.71357e-06,0.00770187
384,1.67739e-06,0.00444031
385,1.34387e-06,0.00465393
386,1.69707e-06,0.00669861
387,9.46454e-07,0.00431824
388,7.04009e-07,0.0031662
389,1.80203e-06,0.00635147
390,5.67073e-06,0.0177917
391,8.14027e-07,0.00305176
392,1.30856e-06,0.00396729
393,1.64491e-06,0.00741959
394,9.58525e-07,0.00471497
395,2.94415e-06,0.0114441
396,9.80042e-07,0.00504303
397,1.16313e-06,0.00300598
398,1.83198e-06,0.00743866
399,1.28418e-06,0.00346375
400,1.02508e-06,0.00274658
401,7.7478e-07,0.00285339
402,4.79338e-06,0.0159149
403,6.08028e-06,0.0172272
404,7.73176e-07,0.00289917
405,1.01002e-06,0.00325775
406,1.92858e-06,0.00836182
407,9.32373e-07,0.00415421
408,7.71409e-07,0.00218582
409,2.93637e-06,0.0115051
410,1.19134e-06,0.0041008
411,9.86438e-07,0.00386047
412,1.19945e-06,0.0040741
413,9.00259e-07,0.00252533
414,1.14616e-06,0.00460815
415,5.14243e-06,0.0170746
416,3.41497e-06,0.0122604
417,1.63212e-06,0.00686264
418,2.55746e-06,0.0101089
419,2.42853e-06,0.00933838
420,4.35041e-06,0.0147476
421,5.86163e-06,0.0182495
422,9.14649e-07,0.00315857
423,1.07508e-06,0.00447464
424,3.35312e-06,0.0125275
425,1.23744e-06,0.00521469
426,1.42243e-06,0.00431824
427,1.28531e-06,0.00485611
428,8.42943e-07,0.00263977
429,3.67981e-06,0.0130539
430,1.06345e-06,0.00389099
431,7.33846e-07,0.00258255
432,4.27033e-06,0.015007
433,2.1501e-06,0.00968933
434,7.4359e-07,0.00263977
435,4.70812e-06,0.0151062
436,1.17607e-06,0.00465393
437,4.6882e-06,0.0154877
438,7.18374e-06,0.0205688
439,1.14701e-06,0.00300598
440,2.01415e-06,0.00881195
441,8.50387e-07,0.00271606
442,9.78105e-07,0.00358772
443,1.13708e-06,0.00366211
444,2.16234e-06,0.00843048
445,6.93788e-07,0.0030365
446,8.32048e-07,0.00286865
447,7.3714e-07,0.00255585
448,1.06935e-06,0.00452042
449,5.11087e-06,0.0151749
450,4.35323e-06,0.0148544
451,9.46556e-07,0.00442123
452,2.34187e-06,0.00950623
453,4.52201e-06,0.0151596
454,3.74125e-06,0.0130997
455,7.01216e-07,0.00285339
456,1.81704e-06,0.00706482
457,4.85156e-06,0.0159149
458,1.4443e-06,0.00555038
459,8.7603e-07,0.00291443
460,1.50368e-06,0.00458908
461,1.18374e-06,0.00383568
462,2.39959e-06,0.00915527
463,2.59157e-06,0.0107803
464,7.54921e-07,0.00335693
465,1.60069e-06,0.003479
466,1.02952e-06,0.00384521
467,9.75893e-07,0.00314331
468,4.31635e-06,0.0153732
469,1.52901e-06,0.00523758
470,1.27605e-06,0.0036869
471,1.47511e-05,0.0299835
472,2.415e-06,0.0096283
473,2.20701e-06,0.00870514
474,2.93333e-06,0.0115967
475,2.04232e-06,0.00804138
476,3.44924e-06,0.0131302
477,1.82015e-06,0.00709152
478,1.35114e-06,0.0037384
479,9.95634e-07,0.00281525
480,6.62933e-07,0.00265503
481,1.34047e-06,0.00407791
482,5.08084e-06,0.0164185
483,1.10565e-06,0.00442886
484,2.15141e-06,0.00826263
485,1.14488e-06,0.0040741
486,5.91881e-07,0.00196838
487,8.35595e-07,0.00453568
488,8.39013e-07,0.00289154
489,8.24046e-07,0.003479
490,1.13208e-06,0.00384521
491,3.48946e-06,0.0135956
492,2.41007e-06,0.00844574
493,2.87624e-06,0.011055
494,1.20365e-06,0.00387573
495,1.03372e-06,0.00313759
496,7.6412e-07,0.00285339
497,1.01629e-06,0.00259399
498,3.92172e-06,0.0133209
499,1.30746e-06,0.0043335
500,1.40436e-06,0.00401306
501,1.11806e-06,0.00306702
502,1.55909e-06,0.00673294
503,3.36778e-06,0.0115509
504,1.17937e-06,0.0027771
505,1.65196e-06,0.00827789
506,2.03136e-06,0.00902557
507,1.03769e-06,0.00434875
508,1.86247e-06,0.00714493
509,7.02529e-06,0.0203705
510,3.27996e-06,0.0122299
511,7.79388e-07,0.00263977
512,4.20453e-06,0.0147705
513,1.34117e-06,0.00485992
514,1.04431e-06,0.00357819
515,3.14807e-06,0.0123367
516,1.42331e-06,0.00520706
517,8.96928e-07,0.00289154
518,1.67911e-06,0.00735474
519,1.72234e-06,0.00687027
520,1.19012e-06,0.00555801
521,7.22277e-06,0.0196838
522,5.79041e-06,0.0181122
523,1.73462e-06,0.00784302
524,1.52274e-06,0.00431824
525,1.6602e-06,0.00679779
526,1.16752e-06,0.00456619
527,1.18441e-06,0.00465775
528,5.54977e-06,0.016922
529,7.04691e-07,0.00240326
530,1.87056e-06,0.00832367
531,8.76731e-07,0.00218201
532,1.61095e-06,0.00547028
533,3.51484e-06,0.0117798
534,4.16658e-06,0.0141907
535,2.24417e-06,0.0083313
536,2.14292e-06,0.00881195
537,1.93642e-06,0.00817108
538,2.30836e-06,0.0079422
539,1.27988e-06,0.00356102
540,1.05196e-06,0.00364685
541,1.66247e-06,0.00594711
542,1.32232e-06,0.00452042
543,7.89903e-07,0.00258636
544,1.94478e-06,0.00689697
545,1.02862e-06,0.00367737
546,6.48472e-07,0.00252533
547,2.2017e-06,0.0082016
548,2.30816e-06,0.00853729
549,1.48928e-06,0.00550461
550,8.32497e-06,0.021637
551,7.50052e-07,0.00320435
552,1.10541e-06,0.00259399
553,2.2453e-06,0.00986481
554,1.17055e-06,0.00389671
555,9.18253e-07,0.00372314
556,8.91162e-07,0.00288391
557,1.03795e-06,0.00397873
558,1.04207e-06,0.00382614
559,7.79942e-06,0.0210876
560,1.19741e-06,0.00367928
561,2.71462e-06,0.0104675
562,3.38709e-06,0.0118408
563,7.97217e-06,0.0210724
564,4.78826e-06,0.015976
565,1.563e-06,0.00558853
566,2.13768e-06,0.00954437
567,4.15245e-06,0.0142288
568,1.79067e-06,0.00566101
569,1.28592e-06,0.00527954
570,1.35056e-06,0.00549698
571,1.19647e-06,0.00426865
572,1.00481e-06,0.00332642
573,9.48582e-07,0.00462341
574,7.47083e-07,0.00367737
575,1.23684e-06,0.0051918
576,1.57063e-06,0.00598526
577,3.06763e-06,0.0117035
578,1.57557e-06,0.00658035
579,1.004e-06,0.00344849
580,1.67578e-06,0.00487137
581,1.32852e-06,0.0055809
582,1.184e-05,0.0265808
583,1.3578e-06,0.00431824
584,1.10984e-06,0.00534439
585,1.66524e-06,0.00768661
586,1.48834e-06,0.00547791
587,6.09122e-06,0.0181122
588,3.39214e-06,0.01297
589,1.84608e-06,0.00779724
590,1.37192e-06,0.00579453
591,1.09596e-06,0.00305176
592,1.26602e-06,0.0057106
593,3.3854e-06,0.012001
594,1.10855e-06,0.00430298
595,5.81329e-06,0.017395
596,1.50933e-06,0.00637054
597,1.79533e-06,0.00804901
598,4.54491e-06,0.0147324
599,1.3479e-06,0.00668335
600,9.67565e-07,0.00341797
601,1.2519e-05,0.0272522
602,1.57243e-06,0.00393677
603,1.58885e-06,0.00602341
604,7.56559e-07,0.00221252
605,2.71335e-06,0.00933838
606,8.43906e-07,0.00257111
607,4.80465e-06,0.015686
608,4.00939e-06,0.0144806
609,1.24501e-06,0.00447464
610,5.25237e-06,0.0175476
611,2.79122e-06,0.0100174
612,1.00446e-06,0.00358582
613,1.18283e-06,0.00358391
614,5.85312e-07,0.00231552
615,6.46924e-06,0.019455
616,2.45779e-06,0.00958252
617,2.00754e-06,0.00611115
618,2.02897e-06,0.00939178
619,7.74424e-06,0.0203247
620,8.69075e-07,0.00244522
621,3.83844e-06,0.0127563
622,1.31499e-06,0.00362396
623,2.12868e-06,0.00900269
624,3.73309e-06,0.0124588
625,2.12669e-06,0.00933075
626,3.00361e-06,0.0114594
627,1.11898e-06,0.00411606
628,7.04445e-06,0.0198975
629,1.32908e-05,0.0283813
630,1.89403e-06,0.00743103
631,5.14796e-06,0.0164185
632,1.41068e-06,0.00280762
633,1.09433e-06,0.00350952
634,1.50851e-06,0.00612259
635,7.02218e-06,0.0202332
636,1.29299e-06,0.00551224
637,2.32859e-06,0.0101166
638,1.29574e-06,0.00511551
639,3.7736e-06,0.0128021
640,1.04553e-06,0.00331116
641,1.09647e-06,0.00292206
642,1.13988e-06,0.00372887
643,3.60613e-06,0.012619
644,1.44411e-06,0.00557327
645,5.32358e-07,0.00167942
646,1.58346e-06,0.00439453
647,2.7337e-06,0.00812531
648,1.50711e-06,0.00608444
649,2.33967e-06,0.00935364
650,9.93703e-07,0.00354004
651,1.10954e-06,0.00308609
652,1.67624e-06,0.00643539
653,1.96488e-06,0.00785828
654,2.18561e-06,0.00878143
655,1.90913e-06,0.00658798
656,1.12647e-06,0.00569153
657,6.52903e-07,0.00203705
658,3.64107e-06,0.0123825
659,4.02392e-06,0.0138397
660,4.02911e-06,0.0143204
661,1.17917e-06,0.00408936
662,1.61889e-06,0.00405884
663,1.42474e-06,0.00597763
664,1.09699e-06,0.00393677
665,2.21994e-06,0.00902557
666,1.1743e-06,0.00302124
667,1.02753e-06,0.00463104
668,1.45914e-06,0.00623703
669,4.65151e-06,0.0158539
670,2.0163e-06,0.00798035
671,2.2826e-06,0.009758
672,1.49019e-06,0.00542831
673,8.64832e-07,0.0032959
674,1.0025e-06,0.00486374
675,3.40204e-06,0.0129013
676,1.83481e-06,0.00575638
677,1.99984e-06,0.0085907
678,9.95681e-07,0.00393677
679,9.04867e-07,0.00317574
680,1.19722e-06,0.00413132
681,2.06885e-06,0.00768661
682,7.80163e-07,0.00252724
683,1.80387e-06,0.00716782
684,1.09089e-06,0.003685
685,1.25897e-06,0.00463104
686,1.00567e-06,0.00340271
687,1.42586e-06,0.00505829
688,8.36783e-07,0.00314903
689,2.0644e-06,0.0101547
690,9.66477e-07,0.00357056
691,1.17712e-06,0.003479
692,1.02379e-06,0.00420761
693,2.29971e-06,0.00796509
694,1.13148e-06,0.00544739
695,1.21671e-06,0.00508881
696,1.97983e-06,0.0065155
697,9.57527e-07,0.00294495
698,5.04127e-06,0.0162354
699,1.04379e-06,0.00501633
700,1.36329e-06,0.00540161
701,1.3038e-06,0.00406265
702,1.02748e-06,0.00525665
703,1.69957e-06,0.00797272
704,9.77175e-07,0.00300598
705,1.5319e-06,0.00729752
706,1.95036e-06,0.00865173
707,7.79397e-06,0.0210724
708,1.07593e-06,0.00551224
709,1.05784e-06,0.00282288
710,8.83036e-07,0.00359154
711,2.70925e-06,0.010994
712,3.12726e-06,0.0113525
713,1.68709e-06,0.00551224
714,8.64938e-06,0.0224762
715,1.05674e-06,0.00548935
716,3.03148e-06,0.0117493
717,5.77433e-06,0.0178375
718,1.27795e-06,0.00581741
719,1.04876e-06,0.00312042
720,1.06303e-06,0.00361633
721,1.56171e-06,0.00619125
722,1.22697e-06,0.00323486
723,1.56512e-06,0.00820923
724,4.83914e-06,0.0160522
725,3.18909e-06,0.0123672
726,1.14731e-06,0.00588608
727,4.82636e-06,0.0152359
728,1.69214e-06,0.00725937
729,1.26884e-06,0.00411987
730,1.14849e-06,0.0037117
731,8.07407e-07,0.00294495
732,1.4535e-06,0.00435257
733,3.60104e-06,0.0135727
734,1.72092e-06,0.00580215
735,1.50544e-06,0.00546265
736,6.9804e-07,0.00238037
737,1.0931e-06,0.00325203
738,1.01518e-06,0.00320435
739,1.38484e-06,0.00445938
740,2.57849e-06,0.00989532
741,7.93725e-07,0.00320435
742,1.07605e-06,0.00317764
743,1.47803e-06,0.00621033
744,1.52234e-06,0.00556183
745,1.41317e-06,0.00570297
746,1.11748e-06,0.00524521
747,2.27014e-06,0.00962067
748,1.70099e-06,0.00781631
749,5.64575e-06,0.0176697
750,1.03836e-06,0.00346184
751,6.53045e-06,0.0191193
752,1.34553e-06,0.00650787
753,1.00147e-06,0.00349426
754,1.67871e-06,0.00599289
755,4.61178e-06,0.0157166
756,9.95499e-07,0.0038662
757,1.95215e-06,0.00760269
758,1.20288e-06,0.0029068
759,1.11523e-06,0.00306702
760,1.35954e-06,0.0060463
761,1.751e-06,0.00703812
762,1.60895e-06,0.00465012
763,3.95519e-06,0.0136566
764,1.12836e-06,0.00350189
765,1.3025e-06,0.00402832
766,2.10047e-06,0.00788116
767,6.71244e-06,0.0193481
768,1.28049e-06,0.00396729
769,1.47518e-06,0.0057869
770,2.13218e-06,0.00904083
771,1.0313e-06,0.00392151
772,1.29645e-06,0.00526428
773,7.33242e-06,0.0198517
774,1.0522e-06,0.003479
775,1.3607e-06,0.00362396
776,4.76752e-06,0.0158997
777,1.39243e-06,0.00457764
778,2.71875e-06,0.0112915
779,1.43794e-06,0.00488281
780,3.38125e-06,0.0122604
781,1.03969e-06,0.00296021
782,1.58588e-05,0.0307465
783,1.81644e-06,0.00656128
784,1.44646e-06,0.00621033
785,1.67719e-06,0.00782013
786,5.09273e-06,0.0163727
787,3.7759e-06,0.0130157
788,1.25842e-06,0.00279999
789,9.66896e-07,0.00298309
790,9.16685e-07,0.00320435
791,7.52837e-07,0.00350952
792,8.66412e-07,0.00316429
793,1.39116e-06,0.00574112
794,2.26787e-06,0.00659561
795,1.60789e-06,0.00865936
796,2.23733e-06,0.00799561
797,8.29621e-06,0.0219574
798,1.44036e-06,0.00609207
799,1.16982e-06,0.00512314
800,9.70656e-07,0.00392151
801,6.69357e-07,0.00278473
802,3.16845e-06,0.0118561
803,4.07725e-06,0.0139923
804,4.80534e-06,0.0150528
805,2.79392e-06,0.010231
806,2.59317e-06,0.00904846
807,9.83742e-07,0.00382996
808,3.19516e-06,0.0125961
809,1.10952e-06,0.00320435
810,4.90365e-06,0.0162506
811,2.00144e-06,0.0086441
812,1.02037e-06,0.00378418
813,1.50964e-06,0.00494766
814,1.72366e-06,0.00815582
815,1.58471e-06,0.00581741
816,1.79006e-06,0.00803375
817,4.43898e-06,0.015358
818,8.59645e-07,0.00335503
819,1.19638e-06,0.0037365
820,1.38798e-06,0.00421524
821,9.89299e-07,0.00285339
822,1.0616e-06,0.00326538
823,1.24149e-06,0.0035553
824,1.40901e-06,0.00599289
825,1.13764e-06,0.00400925
826,1.40735e-06,0.00393677
827,2.39837e-06,0.00984955
828,3.65493e-06,0.0126877
829,1.60175e-06,0.00654221
830,1.1214e-06,0.00297356
831,1.17822e-05,0.0262756
832,1.43539e-06,0.00597
833,1.96343e-06,0.00702286
834,1.51407e-06,0.00535202
835,3.60962e-06,0.013176
836,1.13844e-06,0.00360107
837,1.47642e-06,0.00596237
838,1.18966e-06,0.00625229
839,1.53273e-06,0.00445175
840,1.63467e-06,0.00592422
841,2.93552e-06,0.0087738
842,1.02151e-06,0.00312042
843,1.22551e-06,0.00495529
844,6.08278e-06,0.01828
845,1.47045e-06,0.00738907
846,1.05096e-06,0.00453186
847,1.5773e-06,0.00776291
848,1.44286e-06,0.00425339
849,2.54627e-06,0.00956726
850,1.15514e-06,0.00411606
851,1.09603e-06,0.0026226
852,8.03747e-07,0.00258636
853,1.47478e-06,0.00429916
854,6.09617e-07,0.00361061
855,2.36102e-06,0.00891876
856,1.23756e-06,0.00492477
857,1.00913e-06,0.00332642
858,4.40985e-06,0.0148773
859,1.54932e-06,0.00487137
860,1.42257e-06,0.00435257
861,1.25819e-06,0.00521469
862,4.58898e-06,0.0155258
863,1.10602e-06,0.00409698
864,3.07631e-06,0.0109787
865,9.67562e-07,0.00389481
866,7.56219e-06,0.0207672
867,1.91904e-06,0.00862122
868,1.69787e-06,0.00622177
869,8.95837e-07,0.00326538
870,1.45451e-06,0.00734711
871,9.39786e-07,0.00288391
872,8.04788e-07,0.00282288
873,1.38011e-06,0.00323486
874,1.02671e-05,0.0241241
875,7.88497e-07,0.00290298
876,1.91232e-06,0.00691605
